Entity,Code,Day,People fully vaccinated (cumulative)
Asia,OWID_ASI,2023/6/23,3467759000
Asia,OWID_ASI,2023/6/24,3467799000
Asia,OWID_ASI,2023/6/25,3467847200
Asia,OWID_ASI,2023/6/26,3467890700
Asia,OWID_ASI,2023/6/27,3467927300
Asia,OWID_ASI,2023/6/28,3467964000
Asia,OWID_ASI,2023/6/29,3468000800
Asia,OWID_ASI,2023/6/30,3468038000
Asia,OWID_ASI,2023/7/1,3468074000
Asia,OWID_ASI,2023/7/2,3468113400
Asia,OWID_ASI,2023/7/3,3468154000
Asia,OWID_ASI,2023/7/4,3468194800
Asia,OWID_ASI,2023/7/5,3468229600
Asia,OWID_ASI,2023/7/6,3468264400
Asia,OWID_ASI,2023/7/7,3468336400
Asia,OWID_ASI,2023/7/8,3468408000
Asia,OWID_ASI,2023/7/9,3468565800
Asia,OWID_ASI,2023/7/10,3468745500
Asia,OWID_ASI,2023/7/11,3468925200
Asia,OWID_ASI,2023/7/12,3468990700
Asia,OWID_ASI,2023/7/13,3469030700
Asia,OWID_ASI,2023/7/14,3469070000
Asia,OWID_ASI,2023/7/15,3469109800
Asia,OWID_ASI,2023/7/16,3469165600
Asia,OWID_ASI,2023/7/17,3469221400
Asia,OWID_ASI,2023/7/18,3469294300
Asia,OWID_ASI,2023/7/19,3469361400
Asia,OWID_ASI,2023/7/20,3469408800
Asia,OWID_ASI,2023/7/21,3469441500
Asia,OWID_ASI,2023/7/22,3469474000
Asia,OWID_ASI,2023/7/23,3469519000
Asia,OWID_ASI,2023/7/24,3469590800
Asia,OWID_ASI,2023/7/25,3469668000
Asia,OWID_ASI,2023/7/26,3469716200
Asia,OWID_ASI,2023/7/27,3469778200
Asia,OWID_ASI,2023/7/28,3469832700
Asia,OWID_ASI,2023/7/29,3469887000
Asia,OWID_ASI,2023/7/30,3469941200
Asia,OWID_ASI,2023/7/31,3470002200
Asia,OWID_ASI,2023/8/1,3470065200
Asia,OWID_ASI,2023/8/2,3470114000
Asia,OWID_ASI,2023/8/3,3470154500
Asia,OWID_ASI,2023/8/4,3470190300
Asia,OWID_ASI,2023/8/5,3470226000
