Entity,Code,Day,People fully vaccinated (cumulative)
Asia,OWID_ASI,2023/5/10,3462170600
Asia,OWID_ASI,2023/5/11,3462237700
Asia,OWID_ASI,2023/5/12,3462305500
Asia,OWID_ASI,2023/5/13,3462373000
Asia,OWID_ASI,2023/5/14,3462443300
Asia,OWID_ASI,2023/5/15,3462519800
Asia,OWID_ASI,2023/5/16,3462613000
Asia,OWID_ASI,2023/5/17,3462727700
Asia,OWID_ASI,2023/5/18,3462835700
Asia,OWID_ASI,2023/5/19,3462943700
Asia,OWID_ASI,2023/5/20,3463047400
Asia,OWID_ASI,2023/5/21,3463159000
Asia,OWID_ASI,2023/5/22,3463292700
Asia,OWID_ASI,2023/5/23,3463439600
Asia,OWID_ASI,2023/5/24,3463580700
Asia,OWID_ASI,2023/5/25,3463722200
Asia,OWID_ASI,2023/5/26,3463854800
Asia,OWID_ASI,2023/5/27,3463987200
Asia,OWID_ASI,2023/5/28,3464148000
Asia,OWID_ASI,2023/5/29,3464325000
Asia,OWID_ASI,2023/5/30,3464601300
Asia,OWID_ASI,2023/5/31,3464862000
Asia,OWID_ASI,2023/6/1,3465098500
Asia,OWID_ASI,2023/6/2,3465270800
Asia,OWID_ASI,2023/6/3,3465442800
Asia,OWID_ASI,2023/6/4,3465681400
Asia,OWID_ASI,2023/6/5,3465887200
Asia,OWID_ASI,2023/6/6,3466096000
Asia,OWID_ASI,2023/6/7,3466178800
Asia,OWID_ASI,2023/6/8,3466268700
Asia,OWID_ASI,2023/6/9,3466344700
Asia,OWID_ASI,2023/6/10,3466420500
Asia,OWID_ASI,2023/6/11,3466535200
Asia,OWID_ASI,2023/6/12,3466641000
Asia,OWID_ASI,2023/6/13,3466794800
Asia,OWID_ASI,2023/6/14,3466954800
Asia,OWID_ASI,2023/6/15,3467084300
Asia,OWID_ASI,2023/6/16,3467151000
Asia,OWID_ASI,2023/6/17,3467217700
Asia,OWID_ASI,2023/6/18,3467293200
Asia,OWID_ASI,2023/6/19,3467408000
Asia,OWID_ASI,2023/6/20,3467578400
Asia,OWID_ASI,2023/6/21,3467658000
Asia,OWID_ASI,2023/6/22,3467719000
